title,time,summary,details,keywords
Hasina urges citizens to follow government's directive to prevent coronavirus outbreak,08 March 2020 01:30 PM,Prime Minister Sheikh Hasina has called for calm over a novel coronavirus which is rapidly spreading across the world and urged citizens to follow the government's health directives on the virus to prevent an outbreak in Bangladesh.,She made the call during an event marking International Women’s Day 2020 on Saturday. Hasina pointed out that the health ministry is issuing directives every day on what to do to prevent catching the virus while stressing the need to follow these. “We have the capacity to address the issue and we can do it if everyone becomes aware of it and follows the directives.” State Minister for Women and Children Affairs Fazilatunnessa Indira presided over the event.,Bangladesh
Bangladesh confirms first three cases of coronavirus,08 March 2020 04:13 PM,"Bangladesh has confirmed its first three cases of the coronavirus, which has infected more than 106,000 people and caused over 3,600 deaths across the world after originating in China by the end of last year.","Two men and a woman, all aged between 20 and 35, have tested positive for the virus, the Institute of Epidemiology, Disease Control and Research or IEDCR Director Meerjady Sabrina Flora said on Sunday. Two of them had recently returned from Italy, according to the government's disease control agency. The other is a relative of one of the returnees. The two returnees from Italy are not related. ""They are all in stable condition and being treated in a hospital,"" said Flora. Their diagnosis was confirmed on Saturday, she said, adding: “Two of them showed symptoms of the virus upon returning to the country. Once we received a call to our hotline, we collected their samples and sent them for testing. The results came back positive."" IEDCR HOTLINE The IEDCR has opened a service for the public to report suspected coronavirus cases. Any person showing symptoms of COVID-19 and suspected to have contracted the coronavirus is requested to call IEDCR hotline numbers: 01927711784,  01927711785,  01937000011,  01937110011 Four others, who came into contact with the infected people, were later tested, according to the IEDCR director. “One of them tested positive for the virus but the others were negative. We’ve kept the others in isolation as precaution,” she said. IEDCR chief Flora said one of the three coronavirus patients had a slightly high temperature, one had cough and other had both fever and cough. “They don’t need special treatment,” she said. “We’ve tracked down the contacts of the patients. We are communicating with them. We don’t think we need to take special measures for them,” she said. File Photo: Meerjady Sabrina Flora briefs the media on the health condition of Bangladeshis evacuated from China amid the new coronavirus outbreak. Photo: Mahmud Zaman Ovi Seven Bangladeshi expatriates had earlier tested positive abroad – five in Singapore and one each in Italy and the United Arab Emirates. Also Read
‘What are the symptoms?’ ‘Is there a cure?’ and other coronavirus questions

Surfaces? Sneezes? Sex? How the coronavirus can and cannot spread

What is the test for coronavirus and how does it work? Italy's outbreak of the coronavirus is the worst in Europe, having infected more than 5,800 people and killed 233. Only China, the epicentre of the outbreak, has more deaths from the coronavirus. COVID-19, the illness caused by the virus, has affected other countries in South Asia. After India, Pakistan and Nepal, the Maldives confirmed its first two cases on Saturday. Also Read
IEDCR advises against handshakes, hugs as coronavirus spreads further

IEDCR suggests home quarantine for returnees from countries with coronavirus cases

Bangladesh designs three-level alert system to stop coronavirus outbreak

Not all need to use face masks, IEDCR says as coronavirus scare drives prices Earlier on Sunday, Prime Minister Sheikh Hasina called for calm over the novel coronavirus and urged citizens to follow the government's health directives on the virus to prevent an outbreak in Bangladesh. “Coronavirus has become a global problem. It has severely affected the economy in many countries. We’re monitoring the situation and taking necessary measures. But I would request all to maintain hygiene,” said the prime minister. Hasina pointed out that the health ministry is issuing directives every day on what to do to prevent catching the virus while stressing the need to follow these. File Photo: Students sporting surgical masks return home after their SSC tests in Dhaka’s Tejgaon amid a global outbreak of the coronavirus. Photo: Asif Mahmud Ove Flora urged all not to panic saying the situation is not so bad that the virus can spread all over the country. “There is no need for shutting schools and colleges now,” she said. The director reiterated the call for maintaining cough etiquette. “Please stop spitting here and there. Please avoid handshakes, hugs,” she said. The IEDCR chief said people may avoid gatherings to stop a possible outbreak, but there was no need to worry considering the measures taken to contain a possible outbreak. Flora also asked all to avoid travel to and from Bangladesh unless it is necessary. She said the IEDCR was communicating with all the missions abroad to discuss the impact of the situation on the Bangladeshi expatriates and travellers. Speaking about the returnees, she said, “I urge the Bangladeshis who have come from abroad not to travel now if they show any symptoms. Please stay wherever you are. We will reach you if you contact the IEDCR.” Later, Health Officer Shahriar Sazzad at Shahjalal International Airport in Dhaka told bdnews24.com that they would isolate travellers from six countries if they showed any symptoms of coronavirus in temperature screening. The six countries are China, Italy, South Korea, Iran and Thailand. The suspected cases will be kept at the Kuwait Bangladesh Friendship Government Hospital, he said. He urged all the returnees from those six countries to isolate themselves for 14 days, the incubation period of the virus.",Bangladesh
"Mujib Barsha big event postponed, large public gatherings avoided over coronavirus scare",08 March 2020 11:34 PM,The authorities have postponed the key event of Mar 17 at the National Parade Ground in Dhaka designed to officially launch the celebrations of Bangabandhu Sheikh Mujibur Rahman’s birth centenary after Bangladesh recorded its first coronavirus cases.,"All large public gatherings will be avoided during the celebrations of the day, Kamal Abdul Naser Chowdhury, the chief coordinator of the national committee to implement the Mujib Barsha programmes, said at a news conference in the capital on Sunday. The decisions to limit the gatherings were taken in a meeting chaired by the committee’s chief and Bangabandhu’s daughter Prime Minister Sheikh Hasina at her Ganabhaban residence. The other daughter of Bangabandhu, Sheikh Rehana, was also present. “The decisions have been made to spare the people of sufferings as you know that public interest is the top priority of the prime minister,” Kamal said. The programmes of paying respects to the Father of the Nation at the Bangabandhu Memorial Museum in Dhanmondi 32 and his grave in Gopalganj’s Tungipara, however, will go ahead like every year, Kamal said. The nation was set to kick off the celebrations through a huge gathering at the National Parade Ground in Tejgaon on the 100th birth anniversary of the Father of the Nation. A countdown to the beginning of the celebrations has also been launched. But the spread of the coronavirus from China to almost 100 countries made uncertain the plan for grand celebrations as the authorities across the world have put harsh travel restrictions and cancelled public events to contain the outbreak. President Md Abdul Hamid, Hasina, her Indian counterpart Narendra Modi, and many other leaders from the region and beyond had been scheduled to attend the programme. Kamal said the event has been pushed back considering the health risks. He said small events on a limited scale will be organised to celebrate Bangabandhu’s birth centenary at the educational institutions and elsewhere, keeping the coronavirus situation across the globe in mind. Other programmes to kick off the celebrations included a 31-gun salute in Dhaka and other places at sunrise, and hoisting of the national flag at all government and non-government buildings. An event marking the National Children’s Day would be held in Tungipara, the birth place of Bangabandhu. Special prayers would also be held throughout the country. The health authorities earlier on Sunday confirmed Bangladesh’s first three cases of the coronavirus, which has infected more than 106,000 people and caused over 3,600 deaths across the world after originating in China by the end of last year.",Bangladesh
"Qatar bans arrivals from 14 countries, including Bangladesh, over coronavirus fears",09 March 2020 02:48 AM,"Qatar has temporarily barred travellers from 14 countries, including Bangladesh, from March 9 as a precaution against the rapidly spreading coronavirus, the government announced on Sunday.","The ban covers China, Egypt, India, Iran, Iraq, Lebanon, Bangladesh, Nepal, Pakistan, Philippines, South Korea, Sri Lanka, Syria and Thailand. Qatar Airways had already suspended flights to and from Italy. Qatar reported three more cases of the virus on Sunday, bringing the total there to 15.",Bangladesh
Hasina advises citizens to avoid crowds amid coronavirus fears,09 March 2020 05:01 PM,Prime Minister Sheikh Hasina has advised citizens to avoid mass gatherings following the detection of three coronavirus cases in Bangladesh for the first time.,"The prime minister issued the directive from a cabinet meeting on Monday, Health Service Secretary Asadul Islam told the media. The situation, however, does not warrant the shutdown of schools in Bangladesh, he said. The education minister has been given necessary directive in this regard, said Cabinet Secretary Khandker Anwarul Islam. The Institute of Epidemiology, Disease Control and Research confirmed first three coronavirus cases on Sunday. Among the patients, two men returned to Bangladesh from two cities in Italy. The third case is of a woman from the family of one of the men. All of the patients are in stable condition and receiving treatment in hospital, said IEDCR. The government decided to scale down the celebrations of independence leader Bangabandhu Sheikh Mujibur Rahman’s birth centenary. It postponed the key event scheduled for Mar 17 at the National Parade Ground in Dhaka to officially launch the celebrations. There will be a small inauguration ceremony. Many events will now undergo changes, the cabinet secretary said. “The prime minister suggested preventive measures in three layers as the disease is contagious, but advised people not to panic at all. We’re following every protocol,” said Health Service Secretary Islam.","Hasina, coronavirus, Bangabandhu Sheikh Mujibur Rahman birth centenary"
Indian PM cancels Dhaka trip after Bangladesh detects coronavirus,09 March 2020 09:22 PM,"Indian Prime Minister Narendra Modi cancelled a visit to Bangladesh next week to attend a birth centenary celebration of Bangabandhu Sheikh Mujibur Rahman, after Dhaka detected its first cases of coronavirus and postponed the event.","The event marking the centenary of the birth of Sheikh Mujibur Rahman was scheduled to take place on March 17.On Sunday, Bangladesh confirmed its first three cases of coronavirus and urged citizens returning from six countries - China, Italy, South Korea, Singapore, Iran and Thailand - to quarantine themselves in their homes for 14 days.The number of people infected with the coronavirus has topped 110,000 globally as the outbreak reached more countries.""Prime Minister's (Modi) visit to Bangladesh next week at the invitation of Prime Minister Sheikh Hasina is being deferred,"" Indian foreign ministry spokesman Ravish Kumar said.",Bangladesh
Bangladesh quarantines elderly couple returning from Saudi Arabia,10 March 2020 12:55 PM,An elderly couple returning from Saudi Arabia has been quarantined after displaying symptoms of the novel coronavirus.,"They landed at Dhaka’s Hazrat Shahjalal International Airport on Tuesday morning. The couple informed the airport’s health centre that they fell ill during their stay in the kingdom. “They were suffering from shortness of breath. Their condition was not improving even after receiving treatment in Saudi Arabia. Afterwards, they decided to come back to Bangladesh. Although they are not in critical condition, it is important to confirm whether they are carrying the virus,” Shahriar Sazzad, a doctor of the airport health centre, told bdnews24.com. Bangladesh confirmed its first three cases of the coronavirus. Two men and a woman, all aged between 20 and 35, have tested positive for the virus, according to the Institute of Epidemiology, Disease Control and Research. Two of them had recently returned from Italy, while the other is a relative of one of the returnees.","Saudi Arabia, elderly couple, quarantine"
Hasina’s visit to Japan postponed over coronavirus outbreak,10 March 2020 03:04 PM,"Prime minister Sheikh Hasina’s visit to Japan has been postponed over the global outbreak of novel coronavirus, said Foreign Minister AK Abdul Momen.","“The prime minister was scheduled to travel to Japan and meet the Japaneseemperor. But the visit has been postponed as the novel coronavirus cases have spread there too,” he told reporters on Tuesday. Hasina was scheduled to leave for Japan on Mar 30 on a two-day official visit. “We will visit Japan later and they [Japan] have agreed to the deferred plan,” Momen said. “A business delegation always accompanies the prime minister during her foreign visits to explore trade opportunities abroad,” he said. Japan said it is “not possible for a large delegation to meet many people there in these circumstances”. Bangladesh scaled down the birth centenary celebrations for Bangabandhu Sheikh Mujibur Rahman, set for Mar 17. The prime minister wrote to the heads of state informing them about the scaled-down celebrations, said Momen. “We’ll celebrate the birth centenary in a different manner in the current global context. We’re reorganising everything.”",Bangladesh
Turnout in schools remains normal despite coronavirus fears,10 March 2020 04:47 PM,The student turnout in educational institutions across Dhaka has remained normal on Tuesday after the country reported its first coronavirus cases.,"A brief survey revealed that many students went to school wearing protective masks as a precautionary measure. The heads of the institutions have said they will implement the decision reached by the education ministry after it has finished analysing the situation. Despite the concerns surrounding the virus, students went to school on Sunday. Some educational institutions were closed on Monday due to the Holi festival. The educational institutions will continue to operate normally for now although coronavirus patients have been detected in Bangladesh, Health Minister Zahid Malik said on Monday. Education Minister Dipu Moni has said the decision (if required) to close down education institutions will be taken only on the basis of expert opinions.","Coronavirus, schools, educational institutions, Dhaka"
Bangladesh places dozens under observation on return from abroad amid coronavirus fears,10 March 2020 09:56 PM,The authorities have placed as many as 61 people and their families under observation after they returned from abroad recently amid rising fears of a possible coronavirus outbreak in Bangladesh following the detection of the first cases.,"Administrative officials, Village Police and health workers have been tasked with watching the returnees and their families. The people under observation have been asked not to leave home within 14 days - the incubation period of coronavirus - from the day of return to avoid risk of transmitting the disease, COVID-19. In Manikganj, the number of returnees under observation was 59, the district’s Civil Surgeon AKM Anwarulamin Akhand said on Tuesday. They had returned from different countries, including China, Italy, South Africa, Kuwait, Saudi Arabia, and Singapore, he added. Four of them are women, according to the civil surgeon. As many as 32 of the returnees are in Sadar Upazila, six in Shibaloy, 18 in Saturia, two in Daulatpur and one in Singair. “They have been kept in their home under special arrangements. Their family members are also with them,” Akhand said. No health issue was found in their preliminary check-up, he said. The district administration opened a quarantine unit with 100 seats at the regional office of the National Institute of Population Research and Training for anyone showing any symptom of the coronavirus after returning from abroad, Manikganj Deputy Commissioner SM Ferdous said. In Rajbari’s Baliakandi Upazila, the authorities asked four members of a family and their house help on Monday not to leave home after finding out that two of them, a man and his son, returned from Italy on Mar 2. “The two returnees have no symptoms of coronavirus infection. But we have asked them to stay home for 14 days as precaution. Seven days have already passed,” Baliakandi Upazila Executive Officer AKM Hedayetul Islam said. Rajbari General Hospital Superintendent Dipak Kumar Biswas urged the residents of the district not to panic. He said the hospital was prepared for anyone with symptoms of coronavirus.","Coronavirus, Bangladesh, Manikganj, Rajbari"
No decision yet on shutting schools for coronavirus: Education ministry,10 March 2020 10:52 PM,The government has said it has not decided on closing educational institutions after detection of the first coronavirus cases in Bangladesh.,"The education ministry in a statement on Tuesday urged all not to get misled, saying a group was spreading rumours that the government has announced a closure of educational institutions. The ministry said it was staying in contact with the government’s Institute of Epidemiology, Disease Control and Research or IEDCR. Any decision on the issue will be based on expert opinion, it added. Bangladesh on Sunday reported the first three cases of COVID-19, an illness caused by the new coronavirus originating in China by the end of last year. There was no need for closing schools and colleges now, IEDCR Director Meerjady Sabrina Flora said while disclosing the infections - two returnees from Italy and a close contact. Until Tuesday, the coronavirus claimed more than 4,000 lives and infected over 114,000 worldwide, mostly in China in the early days of the outbreak. But it is spreading fast in some other countries, including Italy, South Korea, Iran and Japan. Some of these countries have closed educational institutions to stop the outbreak. Despite the concerns surrounding the novel virus, the schools in Dhaka reported normal rates of student presence on Tuesday. Some educational institutions were closed on Monday due to the Holi festival. The educational institutions will continue to operate normally for now, Health Minister Zahid Maleque said on Monday. Education Minister Dipu Moni has said the decision, if required, to close down education institutions will be taken if the experts advise in favour of such a move.","Coronavirus, school, education ministry"
"No new coronavirus patient in Bangladesh, first three ‘stable’",11 March 2020 12:12 AM,"No individual has been diagnosed with the coronavirus in Bangladesh in the 24 hours to Tuesday noon and the first three patients were “stable”, according to the government’s disease control agency.","The Institute of Epidemiology, Disease Control, and Research or IEDCR screened seven people in this period but did not detect the virus, its Director Meerjady Sabrina Flora told the daily news briefing on the situation. They included people who had returned home recently, she said. The institute tested specimens of four suspected coronavirus patients in the previous 24 hours but none came back positive. “It means the number of coronavirus patients in Bangladesh is still three,” Flora said. The IEDCR reported the first three cases, aged between 20 and 35, on Sunday. They include two who had recently returned from Italy. They are not related. The other patient is a relative of one of the returnees. “They are in stable condition now. Two of them had shown very mild symptoms. But we can’t release them now. They will get the release order only if they test negative twice consecutively,” Flora said. According to her, eight suspected patients with mild symptoms were being treated in isolation unit. Four others, who came into close contact with the coronavirus patients, have been quarantined, she added.","Coronavirus in Bangladesh, first coronavirus cases"
Tripura government shuts down all border haats with Bangladesh over coronavirus,12 March 2020 05:49 PM,"The Tripura government has decided to shut down all the border haats (markets) with Bangladesh as part of the precautionary measures against novel coronavirus, reports The Telegraph.","A memorandum has been issued from the health and family welfare department on Wednesday saying that mass gatherings in any form may be avoided or possibly be postponed till the outbreak of the disease is contained. “All citizens are requested to restrict mass gatherings to avoid severe acute respiratory illness or SAR case and influenza-like illness, including Covid-19. In case a gathering cannot be avoided, the organiser should ensure precautionary material, according to the directives sent out to all concerned. This restriction may continue until further orders,” the memo said. It said to contain the chain of infection, particularly from Bangladeshi immigrants, the land customs and Border Security Force or BSF authorities should issue a directive to all their staff to follow hygiene protocols. “For the time being, immigrants with a suspected case history and suffering from any respiratory symptoms should be assessed properly before their entry into our state. Moreover, all border haats may be closed for the time being in consultation with Bangladesh authorities,” the memo read. Tripura has two functional border haats with Bangladesh at Kamalasagar in Sepahijala district and Srinagar in South Tripura, according to the report. Three more border haats are also in the pipeline. The department also directed all district officials to take an initiative for regular sanitisation and awareness generation drives at all bus/truck terminus, shopping malls and cinema halls. The memorandum also added that the district health officials should ensure the proper functioning of identified quarantine places and identify more such places for any emergency. A Bangladeshi national was sent back from Agartala-Akhaura international checkpost after a medical helpdesk screened him with high body temperature during the thermal scanner check-up for coronavirus, Tripura health and family welfare director Radha Debbarma said. The clarification comes in the midst of rumours that an Indian citizen was denied entry into Bangladesh after thermal scanners picked up high temperatures on his body. “Not a single person has been infected with the virus in Tripura. We have recently identified 28 people who have a recent visit history to coronavirus-affected countries. Nineteen of them have been cleared. Others haven’t shown any symptoms but are still under self-observation,” the health and family welfare director added.",Bangladesh
"Bangladesh cancels Independence Day parades, gatherings over coronavirus",12 March 2020 06:47 PM,The government has cancelled all parades and gatherings planned for Mar 26 Independence Day throughout Bangladesh in an attempt to stop the coronavirus from spreading.,"The Cabinet Division announced the revised programme plans for the Independence Day and Mar 25 National Genocide Day in a circular on Thursday on approval of Prime Minister Sheikh Hasina. It asked the deputy commissioners of all districts and the Upazila executive officers to limit presence of people while hoisting the national flag at government, semi-government, autonomous and non-government buildings. President Md Abdul Hamid and Hasina will place wreaths at the National Memorial in Savar at sunrise to pay respects to the martyrs of the 1971 Liberation War, according to the circular. A limited number of people will be invited there. The government also urged all political, social and cultural organisations to refrain from crowding the memorial while paying homage to the martyrs. The circular did not say anything in particular about the parade and gathering of children at the Bangabandhu National Stadium in Dhaka, but an official at the Ministry of Liberation War Affairs said the programme has been cancelled as well. No reception for the freedom fighters at district and Upazila levels will be organised, the circular said. The local administrations can send the war veterans flowers and gifts instead of organising such gatherings, it added. No new coronavirus case was reported until Thursday noon after the detection of the first three patients in Bangladesh on Mar 8. But the government had already restricted gatherings that were scheduled for Mar 17 in celebration of Bangabandhu Sheikh Mujibur Rahman’s birth centenary. The main event to kick off the yearlong celebrations in Dhaka had been postponed.","Independence Day Parade, Coronavirus"
"Saudi Arabia, Qatar, Kuwait will extend visa for Bangladeshis: Momen",12 March 2020 10:30 PM,"AK Abdul Momen has urged the expatriate Bangladeshis in the Middle East to have patience, saying Saudi Arabia, Qatar and Kuwait will extend their visa after travel restrictions for the coronavirus are over.","The foreign minister spoke to the media about the issue after meeting the ambassadors of the three countries and those of the United Arab Emirates and Iraq at the state guest house Padma in Dhaka on Thursday. “The expatriates do not need to return home now. There is nothing to be worried about. Their visas will be extended,” the foreign minister said. He reminded the expatriates that they will have to isolate themselves for 14 days if they returned now. Saudi Arabia has stopped issuing Umrah pilgrimage visas amid coronavirus fears. Kuwait has suspended flights to and from nine countries, including Bangladesh, while Qatar has temporarily banned arrivals from the South Asian nation and 13 other countries. Momen said there would be no problem for the Bangladeshis, who urgently need to travel to the Middle-Eastern countries for work, to join their workplaces later as their visas would be extended as well. “Those who need to travel now to join their new workplaces will be able do so later,” he said. Visas of Bangladeshi migrant workers who have been stuck due to the travel bans after returning home will get extended. Expatriates' Welfare and Overseas Employment Minister Imran Ahmad was also present.","Saudi Arabia, Qatar, Kuwait, coronavirus, travel restrictions, visa extension, Bangladesh, migrant workers "
Two jailed in Bangladesh for selling ‘coronavirus vaccine’,13 March 2020 03:45 AM,"When scientists and researchers across the globe are grappling with the pressure to find vaccines for COVID-19, two fraudsters in Bangladesh have been jailed for selling “drugs that can stop coronavirus infection”.","One of them, Nazrul Islam Rubel, 27, a native of Mymensingh district, advertised the “vaccines” through loudspeaker at Ganda union in Kendua Upazila of Netrokona district throughout Wednesday and Thursday, the police said.Rashedul Islam, 35, a so-called doctor from the same district as Rubel’s, started selling the “medicines” at Paharpur Eidgah ground at Ganda on Thursday afternoon, Kendua Police chief Mohammad Rasheduzzaman said.",Bangladesh
Passenger with high temperature sent to hospital from Dhaka airport,13 March 2020 07:04 PM,A passenger with high temperature has been sent to hospital from Shahjalal International Airport in Dhaka as the authorities have bolstered efforts to contain the spread of coronavirus after detection of the first three cases.,"The traveller was found to have high temperature while being screened on arrival on Friday, the airport’s Director AHM Touhid-ul Ahsan told bdnews24.com. Doctors at the airport advised self-quarantine for five other passengers as they had slightly high temperature, the airport’s Medical Officer Shamima Sultana said. They arrived from abroad between Friday morning and 5pm, she said. Shamima said the authorities recorded the information of other passengers of the flights by which the travellers with high temperature arrived. Currently four health desks are working at the airport and as many thermal scanners are also in use as part of precautions to stop the spread of coronavirus, according to Shamima. The travellers from abroad are being checked for temperature in three stages, she said. Meerjady Sabrina Flora, the director of the government’s disease control agency IEDCR, said at the daily briefing they had conducted coronavirus on specimens from 24 suspected patients in the 24 hours to Friday noon but detected no new case. One of the three patients detected in the country returned home after full recovery, she said. Flora said the government may go tough to force people returning from countries hit by the virus to self isolate as some of them were not following the related guidelines properly. Offences like obstructing government duty and breaching the guidelines is punishable with maximum three-month prison term and Tk 50,000 fines under the law to prevent, contain, and eradicate communicable diseases, the government reminded in a notice on Thursday. The punishment is maximum two months of imprisonment or Tk 25,000 fines for providing false information.","Coronavirus, Dhaka, Shahjalal International Airport, self-quarantine"
Bangladesh national among Saudi Arabia’s 24 new coronavirus cases,14 March 2020 04:16 AM,Saudi Arabia has reported 24 new coronavirus cases and a Bangladesh national is among the victims.,"The patient was in quarantine with 14 Egyptians in Makkah, Arab News said on Friday, citing the Ministry of Health. They were infected after having contact with previously announced cases of people with coronavirus, according to the report. With the new ones, the total number of coronavirus cases in the Gulf kingdom stood at 86, it added. In the Middle East, the Bangladesh national infected in Saudi Arabia is the third coronavirus patient from the South Asian country. The two others were reported in the United Arab Emirates. A Saudi man wearing a protective face mask sells fruit at a market, after Saudi Arabia imposed a temporary lockdown on the province of Qatif following the spread of coronavirus, in Qatif, Saudi Arabia March 9, 2020. Reuters Among the expatriates diagnosed in Singapore, four have fully recovered from the infection and returned home, according to the disease control agency of Bangladesh. But one of them remains in critical condition. Three cases were reported in Bangladesh as well and one of them returned home after full recovery, the authorities said. Foreign Minister AK Abdul Momen on Thursday urged the expatriate Bangladeshis in the Middle East to have patience, saying Saudi Arabia, Qatar and Kuwait would extend their visa after travel restrictions for the coronavirus are over.",Bangladesh
Over 100 Bangladeshis return from coronavirus-hit Italy,14 March 2020 10:42 AM,"More than 100 Bangladeshi nationals have returned home from Italy, the European epicentre of the coronavirus pandemic.","An Emirates flight carrying the evacuees from Rome arrived in Dhaka's Hazrat Shahjalal International Airport via Dubai at 8am on Saturday, according Dr Shahriar Sajjat, a physician at the airport's health centre. The 142 returnees were then taken to the Ashkona Hajj Camp near the airport where they will undergo a quarantine for 14 days -- the incubation period of the virus. Bangladesh brought home more than 300 of its nationals from the locked down Chinese city of Wuhan, the epicentre of the novel virus, last month. They were also kept under close surveillance at the Ashkona Hajj Camp before being cleared to go home at the end of the 14-day quarantine as none of the returnees showed any symptoms of coronavirus infection. The coronavirus, which emerged in China's Hubei province in December, has spread to over 115 countries around the world, halting industry, bringing flights to a standstill, closing schools and forcing the postponement of sporting events and concerts. The outbreak was declared recently described as a pandemic by the World Health Organization. It has infected than 138,000 people globally and over 5,000 have died, according to a Reuters tally of government announcements. Millions are locked down in Italy -- the worst-affected country outside China -- where total number of infections have risen to 17,660 with 1,266 deaths. Bangladesh reported its first cases of the virus on Mar 8 after two men and a woman were diagnosed with the infection. Among them, two had recently returned to the country from Italy. But airport officials could not immediately confirm the number of returnees from Italy on Saturday. ""I don't know the exact figure yet. We were informed when the flight was departing from Dubai that there were 125 adults and a one-and-a-half-year old child. But we later found discrepancies in the number so there could be more,"" said Shahriar. MANDATORY QUARANTINE The health ministry later said the number of returnees was 142 and announced that Health Minister Zahid Malik has ordered all of them into a mandatory 14-day quarantine at Ashkona Hajj Camp. The compulsory quarantine measures will also apply to all travelers arriving in Bangladesh from any country affected by the coronavirus pandemic, the ministry said in a statement. Anyone violating the order could face a fine or jail time, it added. On the health of the evacuees from Italy, Meerjady Sabrina Flora, director of the Institute of Epidemiology, Disease Control and Research or IEDCR, said none of them showed any symptoms of the coronavirus infection.""They underwent screening but none of them showed any signs of the virus. But we are working on gathering detailed information on them.""""If anyone is found to have any symptoms later, we will recommend self-quarantine for them. Those who have problems with that will be brought into institutional quarantine.""","coronavirus, Bangladesh, Italy, health, pandemic, returnee, evacuate"
91 placed under observation in Chapainawabganj amid coronavirus fears,14 March 2020 03:24 PM,The authorities have placed as many as 91 people under observation in Chapainawabganj after they returned from abroad amid growing fears of a possible coronavirus outbreak in Bangladesh following the detection of the first cases.,"“At least 91 people have been advised to self-quarantine themselves over the past three days. Sixteen of them are Indian nationals,” Civil Surgeon Dr Zahid Nazrul Choudhury of Chapainawabganj said. “The remaining 75 Bangladeshis have returned from India and Italy.” The measure was taken as a precaution against the spread of the coronavirus, according to Zahid.","Chapainawabganj, Self-Quarantine, Novel Coronavirus"
23 Bangladeshis evacuated from Wuhan by India return home,14 March 2020 07:46 PM,"The government has brought back 23 Bangladeshi students, who had been evacuated by India along with its nationals from the Chinese city of Wuhan, the epicentre of a coronavirus pandemic.","They arrived at the Dhaka airport from Delhi on Saturday afternoon and were later handed over to their families, a foreign ministry spokesperson said in a statement. “It may be mentioned that the Government of India was generous enough to bring them along with Indian nationals free of cost,” the statement said. File Photo As none of them were infected by the coronavirus, the authorities in India released them from the quarantine facilities. The Bangladesh government bore the cost of the repatriation. Bangladesh had earlier evacuated 312 of its nationals from Wuhan directly. They had also been released from quarantine as none were found infected.","India, Bangladesh, Wuhan, coronavirus, evacuation"
152 Bangladeshis return from Italy; several shifted to makeshift Gazipur camp,15 March 2020 11:10 AM,"A total of 152 Bangladeshi nationals have returned home from Italy, the European epicentre of the coronavirus pandemic.","An Emirates flight carrying the evacuees landed in Dhaka's Hazrat Shahjalal International Airport at 8:15am on Sunday. They were then taken to Ashkona Hajj Camp at 9:30am and will be quarantined there for two weeks, said Dr Shahriar Sajjat, a physician at the airport's health centre. Some of the returnees will also be taken to a makeshift quarantine camp in Gazipur’s Meghdubi due to shortage of accommodation at Ashkona Hajj Camp, he said. On Saturday morning, 142 Bangladeshis arrived in the country from Italy. Later, two separate night flights carrying 31 and 58 people respectively landed in Bangladesh. All the returnees are being kept in Ashkona and Meghdubi quarantine camps.","Ashkona, Meghdubi, Gazipur, Italy, Bangladesh, coronavirus, returnees"
Man escapes from Dhaka hospital ahead of coronavirus testing,15 March 2020 05:45 PM,"A man, who was set to undergo testing for the novel coronavirus, has fled from Dhaka's Shaheed Suhrawardy Hospital, according to hospital authorities.","The hospital's Director Dr Uttam Kumar Barua said the patient, a Bangladeshi expatriate in Bahrain, had been admitted with fever, cold and breathing difficulties. But he escaped from ward No. 7 on Sunday morning while doctors were discussing his course of treatment. On what prompted the man to bolt, the director said: ""He fled when he figured out that we would test him for coronavirus. His wife was with him."" Although doctors decided to run tests for coronavirus on him, Dr Uttam believes the chances of him having the infection are low. ""He returned from Bahrain on Jan 18. But the first coronavirus case was reported there on Feb 6. He had spoken about having breathing issues. Maybe he is suffering from pneumonia.""",Bangladesh
Quarantined Bangladeshi returnees from Italy demonstrate in Gazipur,15 March 2020 11:09 PM,A group of expatriate Bangladeshis from coronavirus-ravaged Italy have demonstrated on the premises of a quarantine facility in Gazipur after breaking the gate of the building.,"The government took 48 returnees to the facility, a centre with 20 seats for care of mothers and children, in the city’s Pubail on Saturday night after they arrived at Dhaka’s Shahjalal International Airport. Abdullah Al Jaki, the executive officer of Gazipur Sadar Upazila, said the expatriates asked officials on Sunday afternoon why the returnees were kept in captivity though they had done nothing wrong. “Arguing that they send in a huge amount of foreign currency, the expatriates started to demonstrate. At one stage, they broke down the collapsible gate and came out,” he said. Pubail Police Station OC Md Nazmul Haque Bhuiyan said additional police personnel were deployed there on the news of the demonstration and “vandalism”. “The situation is normal now,” he said. Gazipur Civil Surgeon Khairuzzaman said four of the returnees were sent to the Kuwait-Bangladesh Friendship Hospital in Dhaka as they had significantly high temperature. The hospital is being used for isolation and treatment of suspected coronavirus patients on arrival from abroad.","Quarantine, Gazipur, Meghdubi, coronavirus, Italy, returnees, expatriates"
Saudi-returnee penalised for breaking quarantine in Manikganj,16 March 2020 01:30 AM,"A mobile court in Manikganj has fined a returnee from Saudi Arabia Tk 10,000 for breaking home quarantine.","The expatriate Bangladesh, Lal Mia of Brahmanbari village, was asked to self-quarantine for 14 days when he returned home on Mar 6. The magistrate set up the mobile court outside Lal’s home and handed him the fine on Sunday on receiving a complaint. At least 2,314 Bangladeshis, who had returned home from abroad recently, were asked to stay isolated at home, according to the government.",Bangladesh
